Author,Work,Nation,Age
Unknown,Gilgamesh,The Ancient Near East,The Theocratic Age (2000 BCE-1321 CE)
Unknown,Egyptian Book of the Dead,The Ancient Near East,The Theocratic Age (2000 BCE-1321 CE)
Unknown,Holy Bible (King James Version),The Ancient Near East,The Theocratic Age (2000 BCE-1321 CE)
Unknown,The Apocrypha,The Ancient Near East,The Theocratic Age (2000 BCE-1321 CE)
Unknown,Sayings of the Fathers (Pirke Aboth),The Ancient Near East,The Theocratic Age (2000 BCE-1321 CE)
Unknown,Mahabharata,Ancient India (Sanskrit),The Theocratic Age (2000 BCE-1321 CE)
Unknown,Bhagavad-Gita,Ancient India (Sanskrit),The Theocratic Age (2000 BCE-1321 CE)
Unknown,Ramayana,Ancient India (Sanskrit),The Theocratic Age (2000 BCE-1321 CE)
Homer,Iliad,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Homer,Odyssey,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Hesiod,Works and Days,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Hesiod,Theogony,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Archilochos,Works,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Pindar,Odes,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Aeschylus,Oresteia,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Aeschylus,Seven Against Thebes,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Aeschylus,Prometheus Bound,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Aeschylus,Persians,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Aeschylus,Suppliant Women,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Sophocles,Oedipus the King,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Sophocles,Oedipus at Colonus,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Sophocles,Antigone,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
Sophocles,Electra,The Ancient Greeks,The Theocratic Age (2000 BCE-1321 CE)
